Cell,Area in microns,Size in microns,Mean of FWHM,Std of FWHM,FWHM of FWHM
1895,14.2815575,3.7790947990226442,0.40143968501067917,0.3200514894062656,0.7537212575517555
1896,21.889490000000002,4.678620523188433,0.2797879875756219,0.3203830728885863,0.7545021366526208
1897,5.2054275,2.28154059792939,0.4642411508607427,0.5382434700981674,1.2675633720811843
1898,18.152260000000002,4.260546913249518,0.35677751112430756,0.2582658265243689,0.6082160214648887
1899,23.0907425,4.805282770035495,0.16622826964954496,0.040555572890791175,0.09550837415781321
1900,12.813360000000001,3.579575393814188,0.3417458735901239,0.19421587813682606,0.4573783930122254
1901,9.076130000000001,3.012661613922148,0.7671614130502852,0.45264435430527117,1.0659774543889136
1902,86.6236525,9.30718284444869,0.2819640009806299,0.18420336153835928,0.43379891642283613
1903,25.893665,5.088581826010072,0.3013310597729553,0.24209110811346451,0.570124559607209
1904,18.68615,4.322747968595903,0.2830798490961939,0.12338718838815423,0.2905768286541032
1905,7.741405,2.7823380456012172,0.23044252682725694,0.09059332984763818,0.21334729179118792
1906,71.808205,8.473972209064648,0.2554135529587675,0.3345373218511349,0.7878353929594226
1907,49.384825,7.027433742128061,0.34534324860985777,0.41023144049857985,0.9660950423741556
1908,6.273207500000001,2.504637199276574,0.43079791221884106,0.45135143574702147,1.0629326311842355
1909,13.34725,3.6533888377778787,0.8249382304221258,0.3584456122982915,0.8441394169624765
1910,4.6715375,2.1613739842979514,0.27983786409327926,0.4420548588314757,1.0410391925481253
1911,13.2137775,3.6350759964545447,0.30198142551043006,0.26061130150974166,0.6137396150554416
1912,4.5380650000000005,2.130273456624759,0.46943177253449003,0.08145157433114103,0.19181845754983712
1913,26.027137500000002,5.101679870395633,0.1223584264726858,0.07611681855462409,0.17925510769613973
1914,3.470285,1.8628700974571468,0.18838764003791456,0.050799006738076406,0.11963166086816994
1915,16.4171175,4.051804227748423,0.5717929122234395,0.4552574293747673,1.072131246177577
1916,3.3368125,1.8266944188889394,0.34190435899999144,0.24538685281153957,0.5778860383711757
1917,34.8363225,5.902230298793838,0.31404385688256115,0.30688859367457766,0.7227226381036304
1918,84.88851,9.21349607912219,0.312437943242023,0.33853987226416155,0.7972613991821005
1919,3.6037575,1.898356526050889,0.1703092085699431,0.16733928341354243,0.3940840124388924
1920,9.2096025,3.034732690040426,0.3216113920400261,0.41827875426109806,0.9850464662848859
1921,22.690325,4.7634362596764115,0.26385929769537725,0.24433257856806329,0.5754032225277891
1922,4.27112,2.066668817203182,0.21469899320400695,0.1515223564884805,0.3568351495303716
1924,5.605845,2.3676665728096093,0.342820241617049,0.1497614955026524,0.3526883219087464
1925,48.717462499999996,6.979789574192047,0.35621639363265883,0.24869246580203472,0.5856707569637918
1926,5.3389,2.310605981122701,0.5629244109743187,0.26876656763921136,0.6329452667903428
1927,11.21169,3.3483861784447746,0.2785961942195836,0.24803407566080735,0.5841202481812013
1928,34.5693775,5.8795729011553215,0.6069581397015735,0.8506655376819514,2.0033173412409955
1929,7.8748775,2.806221213660819,0.37272576740558894,0.3206185284861286,0.7550566345848329
1930,7.4744600000000005,2.733945866325813,0.37647759746808,0.44578147576784005,1.0498153754332633
1932,20.554765,4.533736317872931,0.2948945253634654,0.24095271150120226,0.5674436355853313
1933,5.2054275,2.28154059792939,0.14227150121176502,0.07613124831016096,0.17928908977042907
1934,51.253440000000005,7.159150787628376,0.33968101508233145,0.380767487095136,0.8967074321090454
1935,4.9384825,2.2222696731045044,0.4105671395440358,0.4138820986959778,0.9746923424290277
1936,46.314957500000006,6.80550934904949,0.29248785855232484,0.322858797554245,0.760332468240247
1937,23.0907425,4.805282770035495,0.22858366680641232,0.2960931154289165,0.6972992868350983
1938,14.548502500000001,3.814249926263354,0.29529898723904874,0.20432922881666837,0.481195333863254
1939,32.7007625,5.718458052657202,0.40799733070613736,0.3811604953787235,0.8976329666168938
1940,7.207515,2.684681545360641,0.36133137757999567,0.3131763462397545,0.7375302953946218
1941,14.148085,3.7613940234971395,0.3627617585813874,0.33231368144095114,0.7825987197934399
1942,8.00835,2.829902825186759,0.3049239904279482,0.26070529302803974,0.6139609650810336
1943,32.56729000000001,5.706775797243134,0.33322916496064575,0.3452546602925585,0.8130747249889754
1944,70.206535,8.378934001410919,0.24226666728274265,0.2373781035674275,0.5590254339012918
1945,5.071955,2.252100130988851,0.24881487363454138,0.09822131114250489,0.231311187740599
1946,15.215865,3.900751850605214,0.30298166986436953,0.267574990805233,0.6301391033463237
1947,3.6037575,1.898356526050889,0.17495750949654684,0.03954911594715112,0.09313816805554088
1948,2.402505,1.5500016129023866,0.28818130516317325,0.11086739591528978,0.26109271738050743
1949,6.673625,2.583336021503978,0.17768530308731498,0.20654947068050952,0.4864240034525999
1950,4.1376475,2.0341208174540664,0.2140067255414939,0.123917692313298,0.29182616539781675
1951,6.5401525000000005,2.5573721864445154,0.284797116157178,0.2541179949641267,0.5984478781405184
1952,2.402505,1.5500016129023866,0.18062972425934218,0.03309904430260706,0.07794824933263962
1954,60.4630425,7.775798512050065,0.40609539144951295,0.4467410321587403,1.0520751307338334
1955,14.148085,3.7613940234971395,0.6997339504376435,0.27828950976315675,0.6553717954922341
1956,5.605845,2.3676665728096093,0.1953849081692091,0.08158521299949224,0.19213317661380422
1957,13.080305000000001,3.616670430105569,0.31795363429938484,0.28273109201932395,0.6658317217055079
1958,85.2889275,9.235200458030134,0.15843568151501378,0.16338777955689604,0.38477822085649016
1959,31.3660375,5.600539036557106,0.27578978462805986,0.231822097244653,0.5459410390111578
1960,9.2096025,3.034732690040426,0.30584790728885736,0.24045691123691193,0.5662760259629276
1961,40.04175,6.327855086836297,0.16425253235103643,0.19752328376215403,0.46516733325987275
1962,21.088655,4.592238560876384,0.37438120240252437,0.14794437189694715,0.34840899581731055
1963,32.56729000000001,5.706775797243134,0.4293769823321599,0.506046866044341,1.191740369534423
1964,42.444255,6.514925555982969,0.4138101070735565,0.3188933075626507,0.7509937393100424
1965,5.605845,2.3676665728096093,0.3942093451148806,0.34660362261394845,0.8162515312558486
1967,3.3368125,1.8266944188889394,0.19579458846613257,0.1425176807610958,0.3356291381923806
1969,13.2137775,3.6350759964545447,0.24343010774377422,0.2803281548159485,0.6601728045915588
1970,88.09185000000001,9.385725864311189,0.40015615814167405,0.42936362496729624,1.0111513367979827
1971,8.141822500000002,2.853387898621567,0.24477326918517558,0.18333616860138346,0.43175667705625803
1972,17.61837,4.197424210155557,0.37667957318650286,0.22636544446608478,0.5330906217176297
1973,3.7372300000000003,1.9331916614759128,0.48149347222557876,0.29476428437066526,0.6941698896929167
1974,10.6778,3.2676903158041153,0.3232394914821444,0.5033615231660609,1.1854163870560732
1975,47.649682500000004,6.902874944543035,0.25629426132332894,0.16184830459156366,0.3811527573131324
1977,10.811272500000001,3.288049954000091,0.19706400819924472,0.16238558805568196,0.382418059871131
1978,11.6121075,3.407654251827788,0.09327511149110145,0.13319345415784004,0.31367058454171326
1979,38.8404975,6.232214494062283,0.3988757172691198,0.36004009701606576,0.8478944284728349
1980,19.22004,4.384066605333454,0.2499473907283072,0.23693027898616117,0.5579708070124095
1981,18.152260000000002,4.260546913249518,0.40154120817561545,0.347446957016787,0.8182375837745334
1982,4.6715375,2.1613739842979514,0.5436336047863612,0.08239413861211403,0.19403819643152853
1983,16.283645000000003,4.035299864941886,0.27408086907021106,0.1823520554672034,0.42943909062526403
1984,16.55059,4.068241634908133,0.7094046852967842,0.5154308729040529,1.2138397056890444
1985,17.351425,4.165504171165838,0.20616515578421885,0.10852607695613638,0.2555789112317012
1986,32.9677075,5.741751257238509,0.2186400609743565,0.16237423025288872,0.38239131224555295
